,ip,finger,hash,name,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias,class_main,multiclass
193,b9e94e6,2af6e3f,32054c0b64b34fd5a4c0234c210b8101,81462750,Lightfoot Halfling,Custom,2019-06-22T22:46:31Z,Rogue 15,Rogue,Arcane Trickster,15,Mobile|Squat Nimbleness|Bountiful Luck|Resilient,65,15,8,18,8,15,8,17,,Acrobatics|Sleight of Hand|Arcana|Insight|Perception|Deception|Performance,Rapier|Shortbow|Dagger,,Int,expertise/Performance*Arcana*Sleight of Hand*Deception,,,,,,Halfling,,Rapier|Shortbow|Dagger,12-15,trusting_mirzakhani,Rogue,False
194,a5264e7,b6a8c07,f9b1a3eb5ce1aa911d2b32a11f764c6c,b2760ae3,Half-Orc,Entertainer,2019-06-22T08:02:27Z,Fighter 15,Fighter,Champion,15,Great Weapon Master|Heavy Armor Master,180,17,21,12,15,8,8,9,,Acrobatics|Animal Handling|Survival|Intimidation|Performance,"Lance|Warhammer|Crossbow, light",,Int,fighting style/Great Weapon Fighting*Defense,,,,,,Half-Orc,,"Lance|Warhammer|Crossbow, Light",12-15,optimistic_mclaren,Fighter,False
195,5ade947,452b218,016d550be97bda2aa7bd9342efcc2273,9a2d8d5c,Variant,Soldier,2019-06-18T03:45:26Z,Fighter 15,Fighter,Champion,15,,106,16,20,17,12,11,12,8,,Athletics|Acrobatics|Animal Handling|Intimidation,"Greatsword|Longbow|Crossbow, light",,Int,fighting style/Great Weapon Fighting*Archery,,,,,,Half-Elf,,"Greatsword|Longbow|Crossbow, Light",12-15,awesome_euclid,Fighter,False
196,,3f3c76d,77b4b9dcc4bb4fd82ade78e620673996,d26752fd,Human,Sage,2019-06-14T01:47:56Z,Wizard 15,Wizard,School of Transmutation,15,Observant,62,12,11,15,11,20,11,14,,Arcana|History|Investigation|Insight,Quarterstaff,Polymorph*4,Int,,Canada,CA,,,,Human,Polymorph*4,Quarterstaff,12-15,zen_pascal,Wizard,False
197,06d4d96,4d3b8f5,80e83d680169b5e5c8dd7d9ae065cb17,39789bda,Half-Elf,Custom,2019-05-08T22:47:47Z,Wizard 15,Wizard,School of Enchantment,15,,132,12,17,14,20,19,17,12,,Arcana|History|Nature|Religion|Animal Handling|Medicine,Quarterstaff,,Int,,,,,,,Half-Elf,,Quarterstaff,12-15,affectionate_dhawan,Wizard,False
198,7c12991,4c7eeb2,d44c2e6a25f9dc0dbf2672461ec40650,f38b8b37,Human,God to Few,2019-05-04T20:51:42Z,Wizard 15,Wizard,School of Conjuration,15,,137,15,18,20,20,20,19,17,Lawful Good,Arcana|History|Religion|Insight,Quarterstaff,Chill Touch*0|Light*0|Message*0|True Strike*0|Minor Illusion*0|Magic Missile*1|Shield*1|Unseen Servant*1|Find Familiar*1|Disguise Self*1|Fog Cloud*1|Feather Fall*1|Comprehend Languages*1|Blur*2|See Invisibility*2|Levitate*2|Magic Wepon*2|Scorching Ray*2|CounterSpell*3|Sending*3|Protection From Energy*3|Dimension Door*4|Private Sanctum*4|Banishment*4|Hallucinatory Terrain*4|Locate Creature*4|Passwall*5|Legend Lore*5|Telepathic Bond*5|Teleportation Circle*5|SunBeam*6|Flesh To Stone*6|Move Earth*6|Magnificent Mansion*7|Teleport*7|Arcane Sword*7|Plane Shift*7|Control Weather*8|Clone*8,Int,,,,LG,,,Human,Chill Touch*0|Light*0|Message*0|True Strike*0|Minor Illusion*0|Magic Missile*1|Shield*1|Unseen Servant*1|Find Familiar*1|Disguise Self*1|Fog Cloud*1|Feather Fall*1|Comprehend Languages*1|Blur*2|See Invisibility*2|Levitate*2|Magic Weapon*2|Scorching Ray*2|Counterspell*3|Sending*3|Protection from Energy*3|Dimension Door*4|Ice Storm*4|Banishment*4|Hallucinatory Terrain*4|Locate Creature*4|Passwall*5|Legend Lore*5|Rary's Telepathic Bond*5|Teleportation Circle*5|Sunbeam*6|Flesh to Stone*6|Move Earth*6|*|Teleport*7|*|Plane Shift*7|Control Weather*8|Clone*8,Quarterstaff,12-15,gifted_tesla,Wizard,False
199,798d95e,,a87623f15029930869de797a5d9f505b,e4166644,Fire Genasi,Criminal,2019-04-11T03:32:59Z,Warlock 15,Warlock,The Archfey,15,Lucky,123,11,8,10,16,12,11,20,,Stealth|Arcana|Investigation|Deception,"Crossbow, light|Dagger",,Cha,eldritch invocations/Repelling Blast*Agonizing Blast*Book of Ancient Secrets*Sign of Ill Omen*Sculptor of Flesh*Ascendant Step*Bewitching Whispers|pact boon/Pact of the Tome,Australia,AU,,,,Genasi,,"Crossbow, Light|Dagger",12-15,keen_jones,Warlock,False
200,,4483ed9,055457a72f93cd341df7de8da8871311,a76eaafa,High Elf,Criminal,2019-04-01T21:16:36Z,Rogue 15,Rogue,Inquisitive,15,,180,16,14,20,18,13,12,10,,Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception,Rapier|Shortbow|Dagger,,Int,expertise/Sleight of Hand*Insight*Stealth*Investigation,Canada,CA,,,,Elf,,Rapier|Shortbow|Dagger,12-15,tender_ramanujan,Rogue,False
201,0918532,,8b8c71bca5cb21f9062d0ceb4fa37435,d4298c52,Half-Elf,Criminal,2019-03-15T01:28:42Z,Wizard 15,Wizard,School of Divination,15,,124,12,15,13,18,20,15,11,Chatoic Neutral,Sleight of Hand|Stealth|Investigation|Insight|Deception,Quarterstaff|Whip,,Int,,United States,US,CN,,,Half-Elf,,Quarterstaff|Whip,12-15,fervent_dhawan,Wizard,False
202,15b9be8,6c2a2ab,fe2335b93dbc3dcdf046faebbc7896f9,ab77fab3,Human,Noble,2019-02-26T08:25:40Z,Fighter 15,Fighter,Champion,15,Great Weapon Master|Lucky|Alert|Athlete,163,19,17,16,16,9,10,10,,Athletics|History|Survival|Persuasion,"Greatsword|Crossbow, light",,Int,fighting style/Great Weapon Fighting*Defense,,,,,,Human,,"Greatsword|Crossbow, Light",12-15,relaxed_carson,Fighter,False
203,40ac8b1,3a2ae0f,6bec2a385ab2a35da6fc403494c475af,63503f18,Kobold,Folk Hero,2019-01-05T01:48:06Z,Monk 15,Monk,Way of the Drunken Master,15,Mobile|Athlete|Squat Nimbleness,111,19,10,20,14,12,18,10,Lawful Neutral,Athletics|Acrobatics|Animal Handling|Insight|Survival|Performance,Dart|Unarmed Strike|Quarterstaff,,Int,,,,LN,,,Kobold,,Dart|Unarmed Strike|Quarterstaff,12-15,adoring_gould,Monk,False
204,74b83f6,82268d2,8824a172c3a2d5a7eaaa458627922da1,8043beab,Lineage - Zari,Guild Member - Mayhem,2018-12-19T03:01:46Z,Sorcerer 15,Sorcerer,Draconic Bloodline,15,War Caster|Shield Master|Elemental Adept,165,21,16,16,18,13,14,20,,Acrobatics|Arcana|Insight|Performance,Quarterstaff|Dagger,,Cha,metamagic/Quickened Spell*Careful Spell*Empowered Spell,United States,US,,,,Tiefling,,Quarterstaff|Dagger,12-15,serene_margulis,Sorcerer,False
205,d9c2dc8,4aeff40,1ea55bec8bd86cec46ab635860146917,70b20868,Half-Orc,Folk Hero,2018-10-12T02:00:35Z,Bard 15,Bard,College of Glamour,15,Actor,128,11,14,10,16,15,15,19,,Animal Handling|Insight|Perception|Survival|Intimidation,Rapier|Dagger,,Cha,expertise/Survival*Animal Handling*Perception*Insight,,,,,,Half-Orc,,Rapier|Dagger,12-15,crazy_moore,Bard,False
206,,cfe91bb,6611c86e3ca4775051faba3c36f7a85f,608ce704,Tiefling,Far Traveler,2018-09-20T05:49:01Z,Druid 15,Druid,Circle of the Shepherd,15,Observant|War Caster,141,15,8,15,17,14,20,13,,Nature|Insight|Perception|Survival,Whisper,,Wis,tiefling variants menu/Winged,Canada,CA,,,,Tiefling,,,12-15,nifty_bhabha,Druid,False
207,36400cf,550610a,01b255426eb0b4615eaf6483aaf05d83,6e9368d0,Half-Orc,Knight,2018-08-22T22:25:49Z,Fighter 15,Fighter,Battle Master,15,Great Weapon Master,225,16,20,14,20,15,14,13,,History|Animal Handling|Insight|Intimidation|Persuasion,"Greatsword|Whip|Crossbow, light",,Int,combat superiority maneuvers/Trip Attack*Sweeping Attack*Menacing Attack*Commander’s Strike*Disarming Attack*Riposte|fighting style/Great Weapon Fighting,,,,,,Half-Orc,,"Greatsword|Whip|Crossbow, Light",12-15,friendly_noyce,Fighter,False
208,7f44194,f2e9099,654a251e81e73b0229c1fee3e918e6c3,8430f9b9,Deep Gnome,Mercenary Veteran,2018-08-12T22:29:58Z,Barbarian 15,Barbarian,Path of the Berserker,15,,200,15,15,14,17,12,10,14,,Athletics|Intimidation|Persuasion,Greataxe|Handaxe|Javelin,,Int,,,,,,,Gnome,,Greataxe|Handaxe|Javelin,12-15,frosty_hugle,Barbarian,False
209,cbd1b53,22648ea,dc71b4af1f99ee108e4c80313755d03d,812060ca,Human,Soldier,2018-06-21T04:42:44Z,Paladin 15,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,169,18,25,10,18,8,13,17,,Athletics|Insight|Perception|Intimidation|Persuasion,Halberd +1|Javelin|Halberd +1 GWM,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Cha,fighting style/Great Weapon Fighting,United States,US,,,,Human,Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Halberd|Javelin|Halberd,12-15,peaceful_blackburn,Paladin,False
210,0798367,,29873320d124195d4bb7a3bbeeae1b36,93de118c,Human,Pirate,2018-06-19T03:14:30Z,Barbarian 15,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,Chaotic Good,Athletics|Stealth|Perception|Survival|Intimidation,Handaxe|Battleaxe +1|Longbow|Battleaxe +1 Rage,,Int,,United States,US,CG,,,Human,,Handaxe|Battleaxe|Longbow|Battleaxe,12-15,optimistic_heisenberg,Barbarian,False
211,165cfbc,22648ea,8acc11f98efd50f50c31507a7126628f,74d3310c,Human,Soldier,2018-06-15T04:10:21Z,Paladin 15,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,132,16,18,10,14,8,10,16,,Athletics|Insight|Perception|Intimidation|Persuasion,Halberd|Javelin,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Cha,fighting style/Great Weapon Fighting,,,,,,Human,Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Halberd|Javelin,12-15,mystifying_lamarr,Paladin,False
212,165cfbc,22648ea,972928ab67e18f840d03e23e68a38c36,c441f232,Half-Orc,Far Traveler,2018-06-15T04:08:49Z,Paladin 15,Paladin,Oath of Vengeance,15,Great Weapon Master,153,16,18,10,16,8,10,16,Chaotic Good ,Athletics|Insight|Perception|Intimidation|Persuasion,Greatsword|Javelin,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Cha,fighting style/Great Weapon Fighting,,,CG,,,Half-Orc,Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Greatsword|Javelin,12-15,nostalgic_meitner,Paladin,False
213,165cfbc,22648ea,91198ec02e970544101022098a7d05bc,1d5324c0,High Elf,Urban Bounty Hunter,2018-06-15T04:07:09Z,Fighter 15,Fighter,Eldritch Knight,15,War Caster|Sentinel|Resilient,139,24,19,20,14,16,12,8,chaotic good,Acrobatics|Stealth|Insight|Perception|Survival,"Rapier|Crossbow, light",,Int,fighting style/Dueling,,,CG,,,Elf,,"Rapier|Crossbow, Light",12-15,admiring_williams,Fighter,False
214,165cfbc,22648ea,f524c11c39acc9b5edb441dde0306a24,3420622f,High Elf,Sailor,2018-06-15T04:04:59Z,Fighter 15,Fighter,Battle Master,15,Crossbow Expert|Sharpshooter,170,16,8,20,18,9,14,10,,Athletics|Perception|Survival|Intimidation,"Crossbow, heavy|Crossbow, light",,Int,combat superiority maneuvers/Precision Attack*Menacing Attack*Goading Attack*Trip Attack*Disarming Attack*Pushing Attack*Distracting Strike|fighting style/Archery,,,,,,Elf,,"Crossbow, Heavy|Crossbow, Light",12-15,angry_goodall,Fighter,False
215,165cfbc,,2ec7a5ea95737c6215a2e662028bcc11,85cd6bd2,Human,Soldier,2018-06-15T03:56:44Z,Barbarian 15,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,,Athletics|Nature|Perception|Survival|Intimidation,Halberd|Handaxe|Javelin|Halberd Butt,,Int,,,,,,,Human,,Halberd|Handaxe|Javelin|Halberd,12-15,goofy_hodgkin,Barbarian,False
216,d580ce9,d580ce9,990e0c67b882cf1f7aaa0ccd178439db,00b5a5b4,Dragonborn,Acolyte,2018-04-16T21:33:57Z,Sorcerer 15,Sorcerer,Draconic Bloodline,15,,119,14,12,13,15,13,9,20,,Arcana|Religion|Insight|Intimidation,"Crossbow, light|Dagger",,Cha,metamagic/Twinned Spell*Heightened Spell,,,,,,Dragonborn,,"Crossbow, Light|Dagger",12-15,amazing_moore,Sorcerer,False
217,d580ce9,d580ce9,b80904d091c949b9625d9cdf582865c7,af7a4887,Dark Elf,Acolyte,2018-04-16T21:33:57Z,Cleric 15,Cleric,Life Domain,15,,118,18,16,14,13,10,18,11,,Religion|Insight|Medicine|Perception|Persuasion,"Mace|Crossbow, light",Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Wis,,,,,,,Elf,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,"Mace|Crossbow, Light",12-15,eager_haslett,Cleric,False
218,d580ce9,d580ce9,523dfb93cf548f919daf84f4cf547b52,b237842a,Half-Elf,Far Traveler,2018-04-16T21:33:57Z,Ranger 15,Ranger,Beast Master,15,,151,15,10,19,14,12,14,15,,Investigation|Nature|Animal Handling|Insight|Perception,Shortsword|Longbow,,Wis,fighting style/Archery,,,,,,Half-Elf,,Shortsword|Longbow,12-15,infallible_bhaskara,Ranger,False
219,d580ce9,d580ce9,5c2bbb5f153d6771386098c10ef3b8ee,c3e97ae1,Wood Elf,Folk Hero,2018-04-16T21:33:57Z,Druid 15,Druid,Circle of the Moon,15,,118,14,9,17,14,12,19,9,,Nature|Animal Handling|Medicine|Perception|Survival,Quarterstaff|Scimitar,,Wis,,,,,,,Elf,,Quarterstaff|Scimitar,12-15,nostalgic_rosalind,Druid,False
220,d580ce9,d580ce9,64478492f14d6c92ced08a28d2b1f7dd,3f4b9745,High Elf,Urchin,2018-04-16T21:33:57Z,Rogue 15,Rogue,Arcane Trickster,15,,104,14,11,19,13,17,11,12,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Sleight of Hand*Thieves' Tools*Deception,,,,,,Elf,,Rapier|Shortbow|Dagger,12-15,eloquent_kowalevski,Rogue,False
221,d580ce9,d580ce9,d81cc69fe953286623776a5ac8242397,7dc3bece,Goliath,Folk Hero,2018-04-16T21:33:57Z,Barbarian 15,Barbarian,Path of the Totem Warrior,15,,202,16,19,14,19,8,11,9,,Athletics|Nature|Animal Handling|Survival|Intimidation,Greataxe|Javelin,,Int,,,,,,,Goliath,,Greataxe|Javelin,12-15,thirsty_herschel,Barbarian,False
222,c19a2b1,eecf5f4,97883cf50e8bf69d9b629a9ce783ef10,930c36e2,Warforged,Criminal,2021-07-27T04:17:03Z,Artificer 14,Artificer,Battle Smith,14,Healer,101,22,8,14,14,20,10,12,,Stealth|Arcana|History|Investigation|Persuasion,Badass Whip|Halberd Infused|Dagger +1|Alter Self|Longbow +1|Javelin,Guidance*0|Mending*0|Fire bolt*0|Mage Hand*0|Heroism*1|Shield*1|Absorb Elements*1|Alarm*1|Catapult*1|Cure Wounds*1|Detect Magic*1|Disguise Self*1|Expeditious Retreat*1|Faerie Fire*1|False Life*1|Feather Fall*1|Grease*1|Identify*1|Longstrider*1|Purify Food And Drink*1|Sanctuary*1|Snare*1|Jump*1|Tasha's Caustic Brew*1|Branding Smite*2|Warding Bond*2|Aid*2|Alter Self*2|Arcane Lock*2|Blur*2|Continual Flame*2|Darkvision*2|Enhance Ability*2|Enlarge/reduce*2|Heat Metal*2|Invisibility*2|Lesser Restoration*2|Levitate*2|Magic Mouth*2|Magic Weapon*2|Protection From Poison*2|Pyrotechnics*2|Rope Trick*2|See Invisibility*2|Skywrite*2|Spider Climb*2|Web*2|Detect Thoughts*2|Aura of Vitality*3|Conjure Barrage*3|Blink*3|Catnap*3|Create Food And Water*3|Dispel Magic*3|Elemental Weapon*3|Flame Arrows*3|Fly*3|Glyph Of Warding*3|Haste*3|Intellect Fortress*3|Protection From Energy*3|Revivify*3|Tiny Servant*3|Water Breathing*3|Water Walk*3|Aura of Purity*4|Fire Shield*4|Arcane Eye*4|Elemental Bane*4|Fabricate*4|Freedom Of Movement*4|Leomund's Secret Chest*4|Mordenkainen's Faithful Hound*4|Mordenkainen's Private Sanctum*4|Otiluke's Resilient Sphere*4|Stone Shape*4|Stoneskin*4|Summon Construct*4,Int,,Canada,CA,,,,Warforged,Guidance*0|Mending*0|Fire Bolt*0|Mage Hand*0|Heroism*1|Shield*1|Absorb Elements*1|Alarm*1|Catapult*1|Cure Wounds*1|Detect Magic*1|Disguise Self*1|Expeditious Retreat*1|Faerie Fire*1|False Life*1|Feather Fall*1|Grease*1|Identify*1|Longstrider*1|Purify Food and Drink*1|Sanctuary*1|Snare*1|Jump*1|*|Branding Smite*2|Warding Bond*2|Aid*2|Alter Self*2|Arcane Lock*2|Blur*2|Continual Flame*2|Darkvision*2|Enhance Ability*2|Enlarge/Reduce*2|Heat Metal*2|Invisibility*2|Lesser Restoration*2|Levitate*2|Magic Mouth*2|Magic Weapon*2|Protection from Poison*2|Pyrotechnics*2|Rope Trick*2|See Invisibility*2|Skywrite*2|Spider Climb*2|Web*2|Detect Thoughts*2|Aura Of Vitality*3|Conjure Barrage*3|Blink*3|Catnap*3|Create Food and Water*3|Dispel Magic*3|Elemental Weapon*3|Flame Arrows*3|Fly*3|Glyph of Warding*3|Haste*3|*|Protection from Energy*3|Revivify*3|Tiny Servant*3|Water Breathing*3|Water Walk*3|Aura of Purity*4|Fire Shield*4|Arcane Eye*4|Elemental Bane*4|Fabricate*4|Freedom of Movement*4|Leomund's Secret Chest*4|Mordenkainen's Faithful Hound*4|Mordenkainen's Private Sanctum*4|Otiluke's Resilient Sphere*4|Stone Shape*4|Stoneskin*4|*,Whip|Halberd|Dagger||Longbow|Javelin,12-15,pensive_hawking,Artificer,False
223,,c9fafd2,7941a73e7ec2416284adda432e0a3204,ee515bea,Lineage - Levi,Soldier,2021-05-20T03:19:57Z,Warlock 14,Warlock,The Fiend,14,,136,12,12,13,18,8,10,20,,Athletics|Arcana|Deception|Intimidation,Dagger,Eldritch Blast*0|Toll The Dead*0|Green-Flame Blade*0|Prestidigitation*0|Burning Hands*5|Wall Of Fire*5|Armor Of Agathys*5,Cha,pact boon/Pact of the Blade|eldritch invocations/Eldritch Spear*Agonizing Blast*Eldritch Smite*Thirsting Blade*Armor of Shadows*Grasp of Hadar,Canada,CA,,,,Tiefling,Eldritch Blast*0|Toll the Dead*0|Green-Flame Blade*0|Prestidigitation*0|*|*|*,Dagger,12-15,vigorous_goldberg,Warlock,False
224,43ad069,6fc2cc8,4db8c6eac8a03ae760ab19984fb79a59,95812f42,High Elf,Noble,2021-04-06T21:54:21Z,Wizard 14,Wizard,School of Necromancy,14,Observant|Spell Sniper,107,11,12,13,16,18,7,11,Nertual Idiot,Arcana|History|Medicine|Perception|Persuasion,Longsword,Lich Slap (Chill Touch)*0|Mending*0|Message*0|Prestidigitation*0|Blade Ward*0|Chromatic Orb*1|Comprehend Languages (r)*1|False Life*1|Identify (r)*1|Magic Missle*1|Tasha's Hideous Laughter*1|Unseen Servant (r)*1|Feather Fall*1|Crown Of Madness*2|Detect Thots (r)*2|Mirror Image*2|Misty Step*2|Enlarge/Reduce*2|Remove Curse*2|Animate Dead*3|Bestow Curse*3|Fear*3|Fireball*3|Leomund's Tiny Hut (r)*3|Sending*3|Glyph Of Warding*3|Mordenkainens Faithful Hound*4|Banishment*4|Blight*4|Danse Macabre*5|Sword Burst*5|Infestation*5|Disintegrate*6|Scatter*6|Flesh To Stone*6|Magnificent Mansion*7|Finger Of Death*7,Int,,,,,,,Elf,Chill Touch*0|Mending*0|Message*0|Prestidigitation*0|Blade Ward*0|Chromatic Orb*1|Comprehend Languages*1|False Life*1|Identify*1|Magic Missile*1|Tasha's Hideous Laughter*1|Unseen Servant*1|Feather Fall*1|Crown of Madness*2|Detect Thoughts*2|Mirror Image*2|Misty Step*2|Enlarge/Reduce*2|*|Animate Dead*3|Bestow Curse*3|Fear*3|Fireball*3|Leomund's Tiny Hut*3|Sending*3|Glyph of Warding*3|Mordenkainen's Faithful Hound*4|Banishment*4|Blight*4|Danse Macabre*5|*|*|Disintegrate*6|Scatter*6|Flesh to Stone*6|*|Finger of Death*7,Longsword,12-15,hardcore_bartik,Wizard,False
225,e5481a6,,01d2095adbcafc18efd33e2da0760ab2,0fcb043c,Tiefling,Entertainer,2021-03-03T23:18:27Z,Bard 14,Bard,College of Glamour,14,,134,17,12,20,15,15,13,20,C N,Acrobatics|Deception|Intimidation|Performance|Persuasion,Dagger|Yin Rapier|Yang Rapier,Vicious Mockery*0|Message*0|True Strike*0|Mage Hand*0|Charm Person*1|Identify*1|Thunderwave*1|Cure Wounds*1|Shatter*2|Zone Of Truth*2|Invisibility*2|Dispel Magic*3|Fear*3|Bestow Curse*3|Polymorph*4|Confusion*4|Dimension Door*4|Mislead*5|Raise Dead*5|Irresistible Dance *6|Arcane Sword*7,Cha,expertise/Performance*Intimidation*Persuasion*Deception,United States,US,CN,,,Tiefling,Vicious Mockery*0|Message*0|True Strike*0|Mage Hand*0|Charm Person*1|Identify*1|Thunderwave*1|Cure Wounds*1|Shatter*2|Zone of Truth*2|Invisibility*2|Dispel Magic*3|Fear*3|Bestow Curse*3|Polymorph*4|Confusion*4|Dimension Door*4|Mislead*5|Raise Dead*5|Otto's Irresistible Dance*6|*,Dagger|Rapier|Rapier,12-15,recursing_kalam,Bard,False
226,e5481a6,5023c44,03d3c001ac4972ff801d6b73e4ba5f9b,a615fd5d,Tiefling,Entertainer,2021-03-03T22:52:20Z,Bard 14,Bard,College of Glamour,14,,134,16,12,20,15,15,13,20,,Acrobatics|Deception|Intimidation|Performance|Persuasion,Rapier|Dagger,,Cha,expertise/Performance*Intimidation*Persuasion*Deception,United States,US,,,,Tiefling,,Rapier|Dagger,12-15,wonderful_galileo,Bard,False
227,4df92f3,20cb6c6,f49d855a0fae28bbfe95e17c8fd5b3d7,dce94d8a,Tiefling,Entertainer,2020-10-11T03:14:11Z,Wizard 14,Wizard,School of Enchantment,14,War Caster|Flames of Phlegethos|Infernal Constitution,140,20,14,16,18,20,13,20,,Acrobatics|Arcana|Investigation|Performance,Quarterstaff,,Int,tiefling variants menu/Winged,United States,US,,,,Tiefling,,Quarterstaff,12-15,brave_wozniak,Wizard,False
228,4df92f3,20cb6c6,1ad6586c704642a8375df4ac27e34de2,5fdfb81f,Dark Elf,Criminal,2020-10-11T03:13:13Z,Rogue 14,Rogue,Thief,14,Tough|Alert|Resilient|Mobile,182,16,13,20,17,15,13,16,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth*Sleight of Hand*Deception,United States,US,,,,Elf,,Rapier|Shortbow|Dagger,12-15,vibrant_villani,Rogue,False
229,4df92f3,20cb6c6,574967ed8adfcb0b0e207ec52165806a,651b1148,Hill Dwarf,Guild Artisan,2020-10-11T03:11:34Z,Rogue 14,Rogue,Thief,14,Tough|Alert|Resilient|Skilled,182,15,10,18,15,16,15,14,,Acrobatics|Sleight of Hand|Stealth|Arcana|Investigation|Insight|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Deception,United States,US,,,,Dwarf,,Rapier|Shortbow|Dagger,12-15,wizardly_edison,Rogue,False
230,4df92f3,20cb6c6,24ea7c58eb70bc468fb98413d013069d,8e724127,Human,Spy,2020-10-11T03:07:40Z,Sorcerer 14,Sorcerer,Shadow Magic,14,Observant|Prodigy|War Caster|Tough,168,11,10,12,18,14,12,18,,Stealth|Arcana|Investigation|Insight|Deception|Persuasion,"Crossbow, light|Dagger",Darkness*2,Cha,metamagic/Subtle Spell*Heightened Spell*Quickened Spell|expertise/Deception,United States,US,,,,Human,Darkness*2,"Crossbow, Light|Dagger",12-15,suspicious_dubinsky,Sorcerer,False
231,4df92f3,20cb6c6,2eb47dc9bc91de4afbfe80633f64268c,2dd8c536,Human,Soldier,2020-10-11T03:07:15Z,Barbarian 14,Barbarian,Path of the Totem Warrior,14,Prodigy|Tough|Skilled|Alert,238,15,19,14,16,13,12,10,,Athletics|Acrobatics|Stealth|Investigation|Insight|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,,Int,expertise/Perception,United States,US,,,,Human,,Greataxe|Handaxe|Javelin,12-15,stoic_chatelet,Barbarian,False
232,4df92f3,20cb6c6,8ff1de2ed8d3c8a7d05fa3236e50540d,19e85209,Goliath,Mercenary Veteran,2020-10-11T03:02:17Z,Monk 14,Monk,Way of the Open Hand,14,Sentinel|Tough|Mobile,182,20,13,20,17,11,17,11,,Athletics|Acrobatics|Stealth|Persuasion,Shortsword|Dart|Unarmed strike,,Int,,United States,US,,,,Goliath,,Shortsword|Dart|Unarmed Strike,12-15,reverent_brattain,Monk,False
233,,861303f,a63d898379e01cde73a6e8d23a3eeda5,d865c70c,Hide,Acolyte,2020-03-30T23:37:01Z,Rogue 14,Rogue,Assassin,14,,143,16,11,20,20,11,12,14,,Athletics|Stealth|Religion|Insight|Deception|Intimidation|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Persuasion*Intimidation*Deception,Canada,CA,,,,Shifter,,Rapier|Shortbow|Dagger,12-15,zealous_dirac,Rogue,False
234,d03e1e6,0bf4745,ab654c249004adf1f81a7f0903130ac3,853ceb84,Warforged,Soldier,2020-02-28T02:12:42Z,Fighter 14,Fighter,Battle Master,14,,173,17,20,18,20,7,12,13,,Athletics|Perception|Survival|Intimidation,"Greataxe|Crossbow, light",,Int,fighting style/Great Weapon Fighting|combat superiority maneuvers/Sweeping Attack*Feinting Attack*Evasive Footwork*Parry*Menacing Attack*Precision Attack,United States,US,,,,Warforged,,"Greataxe|Crossbow, Light",12-15,gifted_swartz,Fighter,False
235,771e3c1,acf7615,36e6d13729b775c39da9dd0643bb6fc2,1ff742fa,Wood Elf,Hermit,2019-12-15T11:41:31Z,Monk 14,Monk,Way of the Open Hand,14,Grappler,135,19,14,20,16,12,18,13,,Athletics|Acrobatics|Religion|Medicine|Perception,Quarterstaff|Dart|Unarmed Strike,,Wis,,,,,,,Elf,,Quarterstaff|Dart|Unarmed Strike,12-15,xenodochial_newton,Monk,False
